found_at,company,title,location,url
2026-07-07T01:01:26.316598+00:00,Aggregator,"Client, Partnerships & Marketing Development Manager","The City, Central London",https://www.adzuna.co.uk/jobs/land/ad/5783308766?se=DFT-SZ958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=C6D2C353ABCD031461AB0978A73A4B82DED2DA04
2026-07-07T01:01:26.316598+00:00,Aggregator,"Client, Partnerships & Marketing Development Manager","London, UK",https://www.adzuna.co.uk/jobs/land/ad/5783308478?se=DFT-SZ958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=659F0B42C612E1EA4D89DDE20A3E4480820DC458
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager - Luxury Digital Agency,"London, UK",https://www.adzuna.co.uk/jobs/details/5759164101?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5790429694?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Head of Brand & Marketing,"Stockport, Greater Manchester",https://www.adzuna.co.uk/jobs/land/ad/5790381283?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=5778F48EC1615F05B8E0036D4963A20B073C7E7D
2026-07-07T01:01:26.316598+00:00,Aggregator,Head of Marketing & Communications,"West Midlands, UK",https://www.adzuna.co.uk/jobs/details/5790021233?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Head of Brand Content Comms and PR 6 Month FTC,"London, UK",https://www.adzuna.co.uk/jobs/details/5789988591?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Growth Marketing Lead,"London, UK",https://www.adzuna.co.uk/jobs/details/5789988301?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Brand Designer,"Leeds, West Yorkshire",https://www.adzuna.co.uk/jobs/details/5789988108?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Lifecycle & Content Lead,"London, UK",https://www.adzuna.co.uk/jobs/details/5789987721?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Growth Marketing Lead,"London, UK",https://www.adzuna.co.uk/jobs/details/5789987584?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"DTC Brand Marketing Manager, EMEA - Saucony","London, UK",https://www.adzuna.co.uk/jobs/details/5789974614?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5789971127?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=D4884A20C4FB1A4D565C014F8CCA3BB29425EDB0
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Marketing Manager - Luxury Retail,"London, UK",https://www.adzuna.co.uk/jobs/details/5789865420?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Trainee Brand Ambassador No Experience Needed,"East London, London",https://www.adzuna.co.uk/jobs/details/5789618180?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Content Marketing Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5789616998?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5789479861?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager UK - Tatcha,"South Bank, South East London",https://www.adzuna.co.uk/jobs/details/5789182484?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Communication Intern,UK,https://www.adzuna.co.uk/jobs/details/5789180339?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Analyst,"London, UK",https://www.adzuna.co.uk/jobs/details/5789180294?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5789180162?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"Senior Manager, Brand Marketing","London, UK",https://www.adzuna.co.uk/jobs/details/5789179912?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Services Print Assistant,"The City, Central London",https://www.adzuna.co.uk/jobs/details/5788829066?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand and Corporate Communications Lead,UK,https://www.adzuna.co.uk/jobs/details/5788133975?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand & Marketing Executive,UK,https://www.adzuna.co.uk/jobs/land/ad/5787727151?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=6A3EC01A2B4CF4FB55AE14DCD206C3D3D1B10678
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5787654911?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager Automotive,"Central London, London",https://www.adzuna.co.uk/jobs/details/5787095931?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Manager (Credit),"London, UK",https://www.adzuna.co.uk/jobs/details/5786846281?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Account Manager – Brand & Culture,"The City, Central London",https://www.adzuna.co.uk/jobs/land/ad/5786792371?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=C31983D99A2FC88AFD3B582329FE70D9474051D7
2026-07-07T01:01:26.316598+00:00,Aggregator,Consumer Insights Manager,"Glasgow, Scotland",https://www.adzuna.co.uk/jobs/land/ad/5786784461?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=A3A32D5BCAFC0ABC90B0177C072AC8C09DF33429
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Project Manager - Influencer Marketing,"Stratford, East London",https://www.adzuna.co.uk/jobs/land/ad/5786764012?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=BA14D32091870B4B4A3D7AC572754217F4BFA4D4
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Account Manager – Brand & Culture,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5786763327?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=8EC71925F971887765088D5EE42104AD807DA099
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5789989790?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5789988229?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive - Retail,"The City, Central London",https://www.adzuna.co.uk/jobs/details/5789180050?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Manager,UK,https://www.adzuna.co.uk/jobs/land/ad/5789179662?se=7HCKTZ958RGY_r5nmSi8VA&utm_medium=api&utm_source=0635bd81&v=E75760DCF13BB710436F196EECD5DC88BD17AB2A
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5788131398?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager - The Orchard,"London, UK",https://www.adzuna.co.uk/jobs/details/5788131371?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5788129685?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive - Triggers & Automations,"The City, Central London",https://www.adzuna.co.uk/jobs/details/5787654920?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Head of Global CRM Programmes & Operations,"London, UK",https://www.adzuna.co.uk/jobs/details/5786994020?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5786752755?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing and CRM Executive,"South West London, London",https://www.adzuna.co.uk/jobs/details/5785859222?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Operations Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5785368010?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,UK,https://www.adzuna.co.uk/jobs/details/5785350655?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Executive (6 Month Fixed-Term Contract),"London, UK",https://www.adzuna.co.uk/jobs/details/5783907291?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive - 12m FTC - United Kingdom,UK,https://www.adzuna.co.uk/jobs/details/5783347115?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Executive,"Farringdon, Central London",https://www.adzuna.co.uk/jobs/details/5779216411?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive | LOOKFANTASTIC,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/details/5779216303?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5779213400?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Loyalty Campaign Manager - 9 month FTC,"London, UK",https://www.adzuna.co.uk/jobs/details/5777923413?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Builder & Voyado Specialist,"South East London, London",https://www.adzuna.co.uk/jobs/land/ad/5777193841?se=7HCKTZ958RGY_r5nmSi8VA&utm_medium=api&utm_source=0635bd81&v=1C1398A3C6A13142071167722598F9EC548BF410
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Builder & Voyado Specialist,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5776671292?se=7HCKTZ958RGY_r5nmSi8VA&utm_medium=api&utm_source=0635bd81&v=1DBC598C1A380FBE8774986898C33295B556F284
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Executive - Fixed term contract,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/details/5774976923?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Executive - Fixed term contract,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/details/5774421425?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Technical CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5770811992?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5769439413?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"Marketing Manager (Reactive Content, CRM & Product)","London, UK",https://www.adzuna.co.uk/jobs/details/5764755316?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5764537268?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/details/5752711442?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,eComms & CRM Executive,"Hammersmith, West London",https://www.adzuna.co.uk/jobs/details/5748834018?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Executive (Lifecycle),"London, UK",https://www.adzuna.co.uk/jobs/details/5746365005?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5738738502?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Performance Marketing Manager (Paid Social),"London, UK",https://www.adzuna.co.uk/jobs/details/5728073361?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Executive (Direct Mail/Print),"London, UK",https://www.adzuna.co.uk/jobs/details/5723446758?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Executive,"St Pancras, Central London",https://www.adzuna.co.uk/jobs/details/5716218146?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Manager - (Global),"London, UK",https://www.adzuna.co.uk/jobs/details/5789987510?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Regional CRM Manager - UK & Europe,"London, UK",https://www.adzuna.co.uk/jobs/details/5789987449?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Manager,UK,https://www.adzuna.co.uk/jobs/land/ad/5789179662?se=tJBQT5958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=E75760DCF13BB710436F196EECD5DC88BD17AB2A
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Co-ordinator,"London, UK",https://www.adzuna.co.uk/jobs/details/5788132534?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5787057544?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Manager,"Manchester, Greater Manchester",https://www.adzuna.co.uk/jobs/details/5786977065?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior CRM Co-ordinator,"London, UK",https://www.adzuna.co.uk/jobs/details/5786972904?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Manager (Services),"London, UK",https://www.adzuna.co.uk/jobs/details/5786846298?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Functional Consultant,"Rusholme, Manchester",https://www.adzuna.co.uk/jobs/land/ad/5786844088?se=tJBQT5958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=BA4A5EAA99C11E960957F49B60803884E8A563F4
2026-07-07T01:01:26.316598+00:00,Aggregator,Client Advisor,"South East London, London",https://www.adzuna.co.uk/jobs/land/ad/5789551314?se=Fkn6U5958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=24A87A78902B27D4FD3B328E1552EF440CFE7F6C
2026-07-07T01:01:26.316598+00:00,Aggregator,Client Development & Relationship Manager (Luxury Fine Jewellery) London or Dubai,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5789138778?se=Fkn6U5958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=619A2D620DA5BA32D2387F763D5A3C5415AF7737
2026-07-07T01:01:26.316598+00:00,Aggregator,Client Development & Relationship Manager (Luxury Fine Jewellery) London or Dubai,"The City, Central London",https://www.adzuna.co.uk/jobs/land/ad/5789136732?se=Fkn6U5958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=8324A02B5838642D32D063C22FCDC99B783D1DB7
2026-07-07T01:01:26.316598+00:00,Aggregator,Sales Assistant – Furniture Luxury Monobrand Showroom | London City,"The City, Central London",https://www.adzuna.co.uk/jobs/land/ad/5788039370?se=Fkn6U5958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=7344459B42781D4932D67EF930B83DDDBAA3DD02
2026-07-07T01:01:26.316598+00:00,Aggregator,Sales Assistant – Furniture Luxury Monobrand Showroom | London City,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5788039287?se=Fkn6U5958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=6F3F04A2F2DE8EE2DEC8A6FA7CB90E977A0145A6
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5788129142?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Assistant,UK,https://www.adzuna.co.uk/jobs/details/5786754665?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5786282748?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"Director, Marketing (ARTD)","London, UK",https://www.adzuna.co.uk/jobs/details/5786156408?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"Director, Marketing (ARTD)","London, UK",https://www.adzuna.co.uk/jobs/details/5785369736?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Manager- Implementation (9 Months FTC),"Tower Bridge, East London",https://www.adzuna.co.uk/jobs/details/5781435996?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"Senior Brand Manager DTC, Ostomy Care","London, UK",https://www.adzuna.co.uk/jobs/details/5780348789?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"Marketing Lead (Sr Product Manager), UK, Ireland, and Nordics",UK,https://www.adzuna.co.uk/jobs/details/5776440699?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager – Qatar,UK,https://www.adzuna.co.uk/jobs/details/5774602397?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"Holborn, Central London",https://www.adzuna.co.uk/jobs/details/5767934967?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Executive - London,"London, UK",https://www.adzuna.co.uk/jobs/details/5766874548?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"South East London, London",https://www.adzuna.co.uk/jobs/land/ad/5790381158?se=gFUgWJ958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=E24A06BABFE6906647AC3576C188FA8A44CD6CF7
2026-07-07T01:01:26.316598+00:00,Aggregator,Communications & Marketing Executive,"Soho, West London",https://www.adzuna.co.uk/jobs/details/5790301842?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"Farringdon, Central London",https://www.adzuna.co.uk/jobs/land/ad/5790221621?se=gFUgWJ958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=A182E79EAF069CF00B860DA0540293E3FA68F407
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Marketing Executive,"Ladywood, Birmingham",https://www.adzuna.co.uk/jobs/details/5790218921?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Marketing Executive,"Birmingham, West Midlands",https://www.adzuna.co.uk/jobs/details/5790214854?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5790129297?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"North West England, UK",https://www.adzuna.co.uk/jobs/details/5790005946?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Customer Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5789987548?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Marketing Executive,"Birmingham, West Midlands",https://www.adzuna.co.uk/jobs/details/5789987389?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"Rusholme, Manchester",https://www.adzuna.co.uk/jobs/land/ad/5789971125?se=gFUgWJ958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=5A7167A082C30E50F0BCC49A5B70A9DD6F4054DD
2026-07-07T01:01:26.316598+00:00,Aggregator,Trainee Digital Marketing Manager,"Twickenham, London",https://www.adzuna.co.uk/jobs/details/5789872942?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Trainee Digital Marketing Manager,"Kingston Upon Thames, South West London",https://www.adzuna.co.uk/jobs/details/5789872581?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Field Sales & Marketing Executive,"North West England, UK",https://www.adzuna.co.uk/jobs/details/5789872086?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Trainee Digital Marketing Executive,"Croydon, London",https://www.adzuna.co.uk/jobs/details/5789868997?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Field Sales & Marketing Executive,UK,https://www.adzuna.co.uk/jobs/details/5789868966?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Field Sales & Marketing Executive,UK,https://www.adzuna.co.uk/jobs/details/5789865503?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Field Sales & Marketing Executive,"South East England, UK",https://www.adzuna.co.uk/jobs/details/5789865481?utm_medium=api&utm_source=0635bd81
